,cliques,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc,edges,nodes,density
21664,4,8,56,4,5,4,25297.593359375,13610.8857421875,0.9739669421487603,0.9865702479338844,224,32,0.45161290322580644
13580,3,8,56,3,7,512,27698.82421875,25202.35546875,0.973921028466483,0.9999999999999999,168,24,0.6086956521739131
13573,3,8,56,3,7,4,26695.7296875,24747.43359375,0.973921028466483,1.0,168,24,0.6086956521739131
19991,4,8,48,3,3,8,17107.012109375,8727.615234375,0.9738227146814402,0.9889196675900278,192,32,0.3870967741935484
13575,3,8,56,3,7,16,26684.81796875,24862.8203125,0.9737373737373737,0.9999999999999999,168,24,0.6086956521739131
23291,5,8,56,1,5,512,26209.3015625,24183.71875,0.9735331632653061,0.9933035714285715,280,40,0.358974358974359
21931,4,12,56,4,3,256,21960.903515625,17934.66015625,0.9734504132231404,0.9855371900826446,224,48,0.19858156028368795
26502,5,8,48,3,9,128,44552.55,41174.8671875,0.9732638888888889,0.9830729166666666,240,40,0.3076923076923077
23100,5,8,24,1,3,128,14858.9287109375,14011.580078125,0.9732638888888889,0.986111111111111,120,40,0.15384615384615385
21523,4,8,32,4,3,32,18802.44296875,10143.86328125,0.973070607553366,0.9885057471264368,128,32,0.25806451612903225
16607,4,8,24,1,1,8,4342.5724609375,3894.534423828125,0.972853185595568,0.9889196675900277,96,32,0.1935483870967742
19992,4,8,48,3,3,16,16893.585546875,8606.4580078125,0.9728531855955678,0.9903047091412743,192,32,0.3870967741935484
18327,4,8,40,2,3,16,15535.01484375,8549.4189453125,0.9728515625,0.9931640625,160,32,0.3225806451612903
24756,5,8,32,2,1,128,8074.06611328125,7702.232421875,0.9728515625,1.0,160,40,0.20512820512820512
21578,4,8,40,4,5,64,25336.19375,13175.697265625,0.9728515625,0.9853515625,160,32,0.3225806451612903
24859,5,8,48,2,5,4,27748.14609375,25996.427734375,0.972829861111111,0.9865451388888888,240,40,0.3076923076923077
13576,3,8,56,3,7,32,26678.178125,24781.236328125,0.9728191000918274,1.0,168,24,0.6086956521739131
26499,5,8,48,3,9,16,44143.03125,40696.9375,0.9727430555555555,0.990451388888889,240,40,0.3076923076923077
21522,4,8,32,4,3,16,19060.7265625,9943.19140625,0.9727422003284072,0.986863711001642,128,32,0.25806451612903225
21929,4,12,56,4,3,64,21556.743359375,17817.5,0.9727272727272727,0.9839876033057852,224,48,0.19858156028368795
24754,5,8,32,2,1,32,8077.1576171875,7701.0556640625,0.9724609375,1.0,160,40,0.20512820512820512
26536,5,8,56,3,7,32,37482.16328125,35138.9375,0.9724489795918367,0.987563775510204,280,40,0.358974358974359
24911,5,8,56,2,5,512,28020.654296875,25719.130859375,0.9722576530612244,0.9894770408163265,280,40,0.358974358974359
3710,2,8,32,1,5,8,15712.3673828125,14737.8251953125,0.9722222222222223,1.0,64,16,0.5333333333333333
