,cliques,density,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc
80,1,0.7578947368421053,20,144,1,1,2,4807.11162109375,4508.87646484375,0.30841836734693884,0.5956632653061226
81,1,0.7578947368421053,20,144,1,1,4,4795.54287109375,4501.52685546875,0.3346938775510204,0.4770408163265306
82,1,0.7578947368421053,20,144,1,1,8,4782.31318359375,4510.0517578125,0.3364795918367347,0.43112244897959184
83,1,0.7578947368421053,20,144,1,1,16,4782.6443359375,4507.5537109375,0.3474489795918368,0.46556122448979587
84,1,0.7578947368421053,20,144,1,1,32,4779.55751953125,4507.408203125,0.36989795918367346,0.5229591836734694
85,1,0.7578947368421053,20,144,1,1,64,4782.809765625,4504.48974609375,0.36556122448979594,0.43112244897959184
86,1,0.7578947368421053,20,144,1,1,128,4780.66142578125,4512.4208984375,0.3729591836734694,0.46683673469387754
87,1,0.7578947368421053,20,144,1,1,256,5481.655078125,4513.59375,0.3719387755102041,0.4668367346938775
88,1,0.7578947368421053,20,144,1,3,2,9251.3412109375,8647.28125,0.5163265306122449,0.5816326530612245
89,1,0.7578947368421053,20,144,1,3,4,9245.3521484375,8742.90234375,0.5885204081632652,0.6466836734693877
90,1,0.7578947368421053,20,144,1,3,8,10589.8607421875,8739.421875,0.635969387755102,0.6683673469387755
91,1,0.7578947368421053,20,144,1,3,16,13038.4552734375,8911.8896484375,0.6158163265306122,0.6658163265306123
92,1,0.7578947368421053,20,144,1,3,32,13040.9294921875,8729.1884765625,0.6096938775510203,0.7308673469387755
93,1,0.7578947368421053,20,144,1,3,64,14292.706640625,8938.7861328125,0.6104591836734694,0.7410714285714285
94,1,0.7578947368421053,20,144,1,3,128,15449.0853515625,8979.70703125,0.6061224489795919,0.6811224489795918
95,1,0.7578947368421053,20,144,1,3,256,15446.6689453125,9201.75,0.6061224489795919,0.6747448979591836
96,1,0.7578947368421053,20,144,1,5,2,19968.5720703125,12860.5546875,0.5364795918367347,0.6721938775510204
97,1,0.7578947368421053,20,144,1,5,4,19995.5408203125,12898.55078125,0.5408163265306122,0.7168367346938775
98,1,0.7578947368421053,20,144,1,5,8,19996.301171875,13588.9169921875,0.49770408163265306,0.7334183673469388
99,1,0.7578947368421053,20,144,1,5,16,21279.13046875,19567.64453125,0.5341836734693878,0.7308673469387755
100,1,0.7578947368421053,20,144,1,5,32,21276.783984375,13601.837890625,0.5349489795918367,0.7130102040816327
101,1,0.7578947368421053,20,144,1,5,64,21275.18203125,13207.3671875,0.5293367346938775,0.7091836734693877
102,1,0.7578947368421053,20,144,1,5,128,21276.1203125,19562.068359375,0.5336734693877551,0.7130102040816327
103,1,0.7578947368421053,20,144,1,5,256,21278.02578125,19587.947265625,0.5385204081632653,0.7155612244897959
104,1,0.7578947368421053,20,144,1,7,2,26986.02890625,24897.458984375,0.4788265306122449,0.7130102040816327
105,1,0.7578947368421053,20,144,1,7,4,27080.47578125,24938.060546875,0.4913265306122449,0.6670918367346939
106,1,0.7578947368421053,20,144,1,7,8,27092.4546875,24935.63671875,0.4864795918367347,0.6862244897959184
107,1,0.7578947368421053,20,144,1,7,16,27088.335546875,24937.3828125,0.4788265306122449,0.6977040816326531
108,1,0.7578947368421053,20,144,1,7,32,27088.298828125,15047.798828125,0.47270408163265304,0.701530612244898
109,1,0.7578947368421053,20,144,1,7,64,27086.473046875,24935.30859375,0.4650510204081633,0.6926020408163266
110,1,0.7578947368421053,20,144,1,7,128,27083.61328125,24941.185546875,0.474234693877551,0.6977040816326531
111,1,0.7578947368421053,20,144,1,7,256,27084.433984375,24939.33984375,0.4770408163265306,0.7028061224489796
112,1,0.7578947368421053,20,144,1,9,2,31809.961328125,29399.212890625,0.43724489795918375,0.5931122448979591
113,1,0.7578947368421053,20,144,1,9,4,31910.535546875,19063.048828125,0.4025510204081632,0.6237244897959183
114,1,0.7578947368421053,20,144,1,9,8,31930.629296875,19711.30078125,0.40382653061224494,0.610969387755102
115,1,0.7578947368421053,20,144,1,9,16,29414.465234375,19079.75390625,0.4321428571428572,0.5994897959183673
116,1,0.7578947368421053,20,144,1,9,32,31921.27890625,17905.810546875,0.4301020408163265,0.614795918367347
117,1,0.7578947368421053,20,144,1,9,64,26921.8734375,18335.951171875,0.4283163265306122,0.5982142857142858
118,1,0.7578947368421053,20,144,1,9,128,31916.09765625,20213.95703125,0.42219387755102045,0.6020408163265306
119,1,0.7578947368421053,20,144,1,9,256,31904.747265625,29455.689453125,0.42653061224489797,0.6147959183673469
120,1,0.2898550724637681,24,80,1,1,2,7718.22705078125,7305.02978515625,0.69296875,0.7578125
121,1,0.2898550724637681,24,80,1,1,4,7648.62021484375,7217.9541015625,0.5234375,0.63671875
122,1,0.2898550724637681,24,80,1,1,8,7607.5525390625,7184.892578125,0.51171875,0.640625
123,1,0.2898550724637681,24,80,1,1,16,7597.5365234375,7172.16015625,0.52734375,0.62890625
124,1,0.2898550724637681,24,80,1,1,32,7589.75908203125,7173.81494140625,0.51953125,0.63671875
125,1,0.2898550724637681,24,80,1,1,64,7594.27548828125,7171.1103515625,0.51796875,0.63671875
126,1,0.2898550724637681,24,80,1,1,128,7593.009765625,7177.869140625,0.521875,0.63671875
127,1,0.2898550724637681,24,80,1,1,256,7596.62763671875,7177.529296875,0.52578125,0.62890625
128,1,0.2898550724637681,24,80,1,3,2,16084.01640625,14747.212890625,0.65546875,0.70703125
129,1,0.2898550724637681,24,80,1,3,4,15997.2369140625,14663.626953125,0.6453125,0.72265625
130,1,0.2898550724637681,24,80,1,3,8,15963.705859375,14644.69921875,0.6046875,0.75
131,1,0.2898550724637681,24,80,1,3,16,15948.2408203125,14627.2021484375,0.628125,0.7734375
132,1,0.2898550724637681,24,80,1,3,32,15940.56640625,14621.111328125,0.63125,0.78515625
133,1,0.2898550724637681,24,80,1,3,64,15943.6875,14617.0732421875,0.63203125,0.79296875
134,1,0.2898550724637681,24,80,1,3,128,15953.6798828125,14609.328125,0.6328125,0.78125
135,1,0.2898550724637681,24,80,1,3,256,15955.45,14623.8134765625,0.6390625,0.7734375
136,1,0.2898550724637681,24,80,1,5,2,21115.6765625,20148.44140625,0.48359375,0.5546875
137,1,0.2898550724637681,24,80,1,5,4,20989.8671875,20043.8203125,0.55390625,0.640625
138,1,0.2898550724637681,24,80,1,5,8,20979.97890625,20036.421875,0.5734375,0.6796875
139,1,0.2898550724637681,24,80,1,5,16,20973.54375,20033.083984375,0.59140625,0.68359375
140,1,0.2898550724637681,24,80,1,5,32,20968.219140625,20022.58203125,0.58359375,0.66796875
141,1,0.2898550724637681,24,80,1,5,64,20990.087109375,20016.859375,0.58515625,0.6875
142,1,0.2898550724637681,24,80,1,5,128,20981.762109375,19984.740234375,0.5921875,0.69140625
143,1,0.2898550724637681,24,80,1,5,256,20984.9625,20004.6875,0.58046875,0.67578125
144,1,0.2898550724637681,24,80,1,7,2,27788.5421875,24634.298828125,0.4078125,0.59765625
145,1,0.2898550724637681,24,80,1,7,4,27710.303515625,24611.171875,0.34296875,0.59375
146,1,0.2898550724637681,24,80,1,7,8,27688.322265625,24615.30078125,0.3578125,0.5078125
147,1,0.2898550724637681,24,80,1,7,16,27654.480078125,24583.48046875,0.340625,0.5
148,1,0.2898550724637681,24,80,1,7,32,27675.687109375,24561.8828125,0.3359375,0.53125
149,1,0.2898550724637681,24,80,1,7,64,27662.768359375,24564.275390625,0.3234375,0.54296875
150,1,0.2898550724637681,24,80,1,7,128,27676.2828125,24584.146484375,0.3265625,0.53515625
151,1,0.2898550724637681,24,80,1,7,256,27682.409765625,24596.662109375,0.33125,0.5546875
152,1,0.2898550724637681,24,80,1,9,2,31538.803125,30379.134765625,0.44765625,0.74609375
153,1,0.2898550724637681,24,80,1,9,4,31500.007421875,30319.630859375,0.5515625,0.72265625
154,1,0.2898550724637681,24,80,1,9,8,31500.50390625,30278.654296875,0.53046875,0.765625
155,1,0.2898550724637681,24,80,1,9,16,31506.37109375,30288.4296875,0.51484375,0.7109375
156,1,0.2898550724637681,24,80,1,9,32,31496.716796875,30284.947265625,0.51328125,0.71484375
157,1,0.2898550724637681,24,80,1,9,64,31519.718359375,30305.17578125,0.52890625,0.71875
158,1,0.2898550724637681,24,80,1,9,128,31529.261328125,30322.775390625,0.53203125,0.78515625
159,1,0.2898550724637681,24,80,1,9,256,32635.36171875,30324.962890625,0.52890625,0.74609375
160,1,0.5217391304347826,24,144,1,1,2,8155.21865234375,7622.50244140625,0.5785714285714286,0.6147959183673469
161,1,0.5217391304347826,24,144,1,1,4,8106.47568359375,7596.88232421875,0.5339285714285714,0.5956632653061225
